X,Y,Z
2.8109,0.986552,27.0265
2.79147,0.997488,26.6915
2.77569,1.01098,26.3607
2.76365,1.0268,26.0363
2.7554,1.04469,25.72
2.75095,1.06443,25.4136
2.7503,1.08579,25.1188
2.75338,1.10857,24.8372
2.76013,1.13256,24.5702
2.77044,1.15757,24.3195
2.78421,1.18344,24.0864
2.80127,1.21,23.8724
2.82149,1.23711,23.6791
2.8447,1.26462,23.5079
2.87071,1.2924,23.3602
2.89932,1.32031,23.2376
2.93032,1.34821,23.1416
2.96351,1.37596,23.0736
2.99862,1.40341,23.0351
3.03543,1.4304,23.0276
3.07365,1.45676,23.0523
3.11299,1.48231,23.1104
3.15316,1.50684,23.2031
3.19383,1.53013,23.3312
3.23464,1.55195,23.4953
3.27524,1.57205,23.6955
3.31524,1.59017,23.9317
3.35424,1.60604,24.2032
3.39181,1.61938,24.5089
3.42754,1.62991,24.8468
3.461,1.63736,25.2144
3.49175,1.64147,25.6083
3.51937,1.64201,26.0246
3.54346,1.63877,26.4584
3.56365,1.6316,26.9043
3.5796,1.62038,27.3559
3.59103,1.60509,27.8067
3.5977,1.58574,28.2496
3.59945,1.56246,28.6775
3.59618,1.53543,29.0832
3.58788,1.50495,29.4599
3.57461,1.47137,29.8012
3.55651,1.43514,30.1015
3.53381,1.39677,30.3563
3.50678,1.35684,30.5619
3.47577,1.31596,30.7158
3.4412,1.27476,30.817
3.4035,1.23387,30.8652
3.36315,1.19394,30.8614
3.32065,1.15555,30.8077
3.27653,1.11926,30.7069
3.2313,1.08556,30.5623
3.18548,1.05487,30.378
3.13958,1.02755,30.158
3.0941,1.00387,29.9067
3.04953,0.984008,29.6286
3.0063,0.968097,29.3279
2.96486,0.956175,29.0088
2.92561,0.94822,28.6752
2.88891,0.94415,28.3307
2.85509,0.943833,27.9786
2.82445,0.947091,27.6221
2.79724,0.953715,27.2639
2.77366,0.963469,26.9067
2.75389,0.976099,26.5528
2.73804,0.991346,26.2043
2.72619,1.00894,25.8631
2.71839,1.02863,25.5312
2.71463,1.05017,25.2102
2.71488,1.0733,24.9017
2.71907,1.09783,24.6074
2.72713,1.12353,24.3287
2.73893,1.15023,24.0672
2.75433,1.17775,23.8243
2.77319,1.20593,23.6014
2.79534,1.23464,23.4003
2.8206,1.26372,23.2222
2.84877,1.29306,23.0689
2.87966,1.32251,22.9418
2.91304,1.35195,22.8426
2.94868,1.38123,22.7729
2.98635,1.41021,22.7343
3.02577,1.43872,22.7283
3.06666,1.46658,22.7564
3.10874,1.49362,22.82
3.15167,1.5196,22.9203
3.19512,1.54431,23.0584
3.23873,1.5675,23.2349
3.2821,1.58889,23.4503
3.32483,1.6082,23.7045
3.36648,1.62514,23.997
3.40662,1.6394,24.3264
3.44477,1.65066,24.6909
3.48048,1.65863,25.0878
3.51327,1.66302,25.5135
3.54269,1.66355,25.9637
3.5683,1.66,26.4332
3.58969,1.65219,26.9158
3.6065,1.63997,27.4047
3.61839,1.62332,27.8925
3.62514,1.60224,28.3715
3.62655,1.57687,28.8335
3.62252,1.54741,29.2707
3.61305,1.51418,29.6754
3.59822,1.47758,30.0407
3.57818,1.43811,30.3605
3.55318,1.39634,30.6297
3.52355,1.35291,30.8445
3.48968,1.3085,31.0024
3.45201,1.26382,31.1024
3.41104,1.21957,31.1447
3.36729,1.17645,31.1306
3.32131,1.13512,31.0628
3.27366,1.09616,30.9444
3.2249,1.06012,30.7796
3.17559,1.02744,30.5729
3.12628,0.998491,30.329
3.07749,0.973551,30.0529
3.02973,0.952808,29.7492
