time,X,Y,Z
3.79,-3.82466,-5.39609,17.6107
3.8,-3.98993,-5.74121,17.3461
3.81,-4.17411,-6.11072,17.1115
3.82,-4.37779,-6.50609,16.9092
3.83,-4.60162,-6.92867,16.7423
3.84,-4.84636,-7.37967,16.614
3.85,-5.11279,-7.86007,16.5282
3.86,-5.40172,-8.37055,16.4891
3.87,-5.71396,-8.91133,16.5016
3.88,-6.05023,-9.48208,16.5711
3.89,-6.41116,-10.0817,16.7036
3.9,-6.79719,-10.7083,16.9055
3.91,-7.20853,-11.3585,17.1839
3.92,-7.64499,-12.028,17.5463
3.93,-8.10595,-12.7103,18.0002
3.94,-8.59019,-13.3972,18.5532
3.95,-9.09575,-14.0781,19.2126
3.96,-9.61975,-14.7399,19.9847
3.97,-10.1582,-15.3667,20.8741
3.98,-10.706,-15.9398,21.8835
3.99,-11.2565,-16.4377,23.0121
4,-11.8014,-16.8368,24.2549
4.01,-12.3309,-17.1117,25.6018
4.02,-12.8337,-17.237,27.0363
4.03,-13.2968,-17.188,28.535
4.04,-13.7061,-16.9438,30.0671
4.05,-14.0466,-16.4888,31.5953
4.06,-14.3034,-15.8155,33.0763
4.07,-14.4625,-14.9268,34.4633
4.08,-14.5113,-13.8374,35.7093
4.09,-14.4404,-12.574,36.7703
4.1,-14.2441,-11.1748,37.6097
4.11,-13.9213,-9.68677,38.2015
4.12,-13.476,-8.16211,38.533
4.13,-12.9171,-6.65355,38.6057
4.14,-12.2584,-5.20986,38.4348
4.15,-11.5171,-3.87194,38.0466
4.16,-10.713,-2.67016,37.4751
4.17,-9.86714,-1.62316,36.7582
4.18,-9.00012,-0.738326,35.934
4.19,-8.13122,-0.0132493,35.0378
4.2,-7.27744,0.562012,34.0998
4.21,-6.45296,1.0025,33.1448
4.22,-5.66886,1.32609,32.1915
4.23,-4.9332,1.55156,31.2532
4.24,-4.25119,1.69726,30.3387
4.25,-3.62559,1.78013,29.4531
4.26,-3.05706,1.81519,28.5989
4.27,-2.54464,1.81534,27.7766
4.28,-2.0861,1.79139,26.9858
4.29,-1.6783,1.75212,26.225
4.3,-1.31752,1.70457,25.4926
4.31,-0.999686,1.65424,24.7868
4.32,-0.720571,1.60533,24.1059
4.33,-0.475954,1.561,23.4482
4.34,-0.261726,1.52353,22.8123
4.35,-0.0739687,1.49458,22.197
4.36,0.0909966,1.47524,21.601
4.37,0.236579,1.46627,21.0234
4.38,0.365906,1.46812,20.4634
4.39,0.481827,1.48108,19.9204
4.4,0.586919,1.50532,19.3937
4.41,0.683508,1.54096,18.8828
4.42,0.773687,1.5881,18.3873
4.43,0.859339,1.64688,17.9069
4.44,0.942166,1.7175,17.4412
4.45,1.02371,1.80022,16.99
4.46,1.10538,1.8954,16.5532
4.47,1.18846,2.00352,16.1306
4.48,1.27418,2.12515,15.7223
4.49,1.36368,2.26102,15.3281
4.5,1.45805,2.41197,14.9483
4.51,1.55838,2.57898,14.583
4.52,1.66572,2.7632,14.2326
4.53,1.78114,2.96591,13.8974
4.54,1.90574,3.18854,13.578
4.55,2.04066,3.43272,13.2752
4.56,2.18706,3.70021,12.9898
4.57,2.3462,3.99295,12.723
4.58,2.51939,4.31305,12.4762
4.59,2.70803,4.66277,12.251
4.6,2.91361,5.04454,12.0496
4.61,3.13772,5.4609,11.8744
4.62,3.38205,5.91453,11.7284
4.63,3.6484,6.40817,11.6151
4.64,3.93864,6.94455,11.5388
4.65,4.25478,7.52636,11.5044
4.66,4.59885,8.15609,11.5179
4.67,4.97297,8.83591,11.5862
4.68,5.37924,9.56746,11.7173
4.69,5.81972,10.3516,11.9205
4.7,6.29634,11.188,12.2065
4.71,6.8108,12.075,12.5873
4.72,7.36444,13.0086,13.0765
4.73,7.95804,13.9824,13.6889
4.74,8.59163,14.9865,14.4403
4.75,9.26419,16.0067,15.3473
4.76,9.9733,17.0239,16.4264
4.77,10.7148,18.0129,17.6925
4.78,11.4824,18.9418,19.158
4.79,12.2669,19.7718,20.8305
4.8,13.0562,20.457,22.7098
4.81,13.8345,20.9456,24.7854
4.82,14.5824,21.182,27.0334
4.83,15.2765,21.1108,29.4133
4.84,15.8901,20.6816,31.8661
4.85,16.394,19.8564,34.3149
4.86,16.7582,18.6163,36.6669
4.87,16.9536,16.9695,38.8196
4.88,16.9553,14.9555,40.6706
4.89,16.7449,12.6461,42.129
4.9,16.3139,10.1412,43.1282
4.91,15.6647,7.55893,43.635
4.92,14.8122,5.02149,43.6556
4.93,13.7825,2.64045,43.2332
4.94,12.6107,0.503875,42.4402
4.95,11.3374,-1.33134,41.3667
4.96,10.005,-2.84099,40.1063
4.97,8.65399,-4.02976,38.7458
4.98,7.32003,-4.92386,37.3569
4.99,6.03233,-5.56274,35.9935
5,4.81287,-5.99145,34.6916
5.01,3.67657,-6.2549,33.472
5.02,2.63207,-6.39423,32.3439
5.03,1.68276,-6.44488,31.3079
5.04,0.827971,-6.43605,30.3598
5.05,0.0640082,-6.391,29.4926
5.06,-0.614871,-6.32773,28.6981
5.07,-1.2157,-6.25982,27.9681
5.08,-1.74619,-6.1973,27.295
5.09,-2.21432,-6.14739,26.6722
5.1,-2.62796,-6.11516,26.0942
5.11,-2.99471,-6.10403,25.5564
5.12,-3.32172,-6.11623,25.0552
5.13,-3.61562,-6.15307,24.5879
5.14,-3.88249,-6.21522,24.1525
5.15,-4.12783,-6.30289,23.7477
5.16,-4.35658,-6.41595,23.3727
5.17,-4.57316,-6.55407,23.0273
5.18,-4.7815,-6.71675,22.7114
5.19,-4.98503,-6.90339,22.4254
5.2,-5.18679,-7.1133,22.1703
5.21,-5.3894,-7.3457,21.9469
5.22,-5.59514,-7.59974,21.7566
5.23,-5.80597,-7.87444,21.6009
5.24,-6.02351,-8.16869,21.4814
5.25,-6.24912,-8.48121,21.4002
5.26,-6.48387,-8.81047,21.3594
5.27,-6.72856,-9.15465,21.3611
5.28,-6.98372,-9.51159,21.4076
5.29,-7.24958,-9.8787,21.5015
5.3,-7.52608,-10.2529,21.645
5.31,-7.81286,-10.6305,21.8404
5.32,-8.1092,-11.0073,22.0898
5.33,-8.414,-11.3784,22.3949
5.34,-8.72577,-11.738,22.7569
5.35,-9.04257,-12.0799,23.1763
5.36,-9.362,-12.3968,23.653
5.37,-9.68118,-12.6812,24.1855
5.38,-9.9967,-12.9249,24.7712
5.39,-10.3047,-13.1194,25.4059
5.4,-10.6007,-13.2562,26.0837
5.41,-10.88,-13.3272,26.7969
5.42,-11.1374,-13.3248,27.536
5.43,-11.3674,-13.2428,28.2895
5.44,-11.5646,-13.0766,29.0442
5.45,-11.7237,-12.8238,29.7857
5.46,-11.8394,-12.4846,30.4984
5.47,-11.9072,-12.0618,31.1665
5.48,-11.9235,-11.5617,31.7747
5.49,-11.8854,-10.9931,32.3086
5.5,-11.7916,-10.368,32.7558
5.51,-11.6419,-9.70018,33.1066
5.52,-11.4377,-9.0052,33.3543
5.53,-11.1818,-8.29921,33.4956
5.54,-10.8787,-7.59822,33.5305
5.55,-10.5337,-6.91719,33.4626
