time,angle,x,y
7.96,-0.542927,-0.516644,-0.8562
7.98,-0.650693,-0.605738,-0.795664
8,-0.729429,-0.666444,-0.745555
8.02,-0.776226,-0.700591,-0.713563
8.04,-0.789448,-0.709965,-0.704237
8.06,-0.768646,-0.695163,-0.718853
8.08,-0.714529,-0.655262,-0.755402
8.1,-0.629009,-0.588344,-0.808611
8.12,-0.515294,-0.49279,-0.870148
8.14,-0.377961,-0.369027,-0.929419
8.16,-0.222944,-0.221102,-0.975251
8.18,-0.0573306,-0.0572992,-0.998357
8.2,0.111029,0.110801,-0.993843
8.22,0.274078,0.27066,-0.962675
8.24,0.424157,0.411552,-0.911386
8.26,0.554512,0.526528,-0.850158
8.28,0.659633,0.612827,-0.790217
8.3,0.735386,0.670873,-0.741572
8.32,0.778988,0.702559,-0.711625
8.34,0.78892,0.709593,-0.704612
8.36,0.764846,0.692426,-0.721489
8.38,0.707588,0.650002,-0.759932
8.4,0.619179,0.580367,-0.814355
8.42,0.502956,0.482018,-0.876161
8.44,0.363634,0.355673,-0.934611
8.46,0.207266,0.205785,-0.978597
8.48,0.0410363,0.0410247,-0.999158
8.5,-0.12716,-0.126817,-0.991926
8.52,-0.289278,-0.28526,-0.95845
8.54,-0.437726,-0.423881,-0.905718
8.56,-0.565859,-0.536141,-0.844128
8.58,-0.668298,-0.619651,-0.784877
8.6,-0.741042,-0.675057,-0.737766
8.62,-0.781434,-0.704298,-0.709905
8.64,-0.788073,-0.708995,-0.705213
8.66,-0.760734,-0.689453,-0.72433
8.68,-0.700354,-0.644488,-0.764614
8.7,-0.609087,-0.572119,-0.820171
8.72,-0.490402,-0.470981,-0.882144
8.74,-0.349146,-0.342096,-0.939665
8.76,-0.191495,-0.190327,-0.981721
8.78,-0.0247234,-0.0247209,-0.999694
8.8,0.143233,0.142744,-0.98976
8.82,0.304349,0.299672,-0.954042
8.84,0.451103,0.435959,-0.899967
8.86,0.576965,0.545483,-0.838122
8.88,0.676685,0.626212,-0.779653
8.9,0.746394,0.678996,-0.734142
8.92,0.783563,0.705808,-0.708403
8.94,0.786906,0.708173,-0.706039
8.96,0.756312,0.686243,-0.727372
8.98,0.69283,0.638717,-0.769442
9,0.598738,0.5636,-0.826048
9.02,0.477636,0.459681,-0.888084
9.04,0.334504,0.328301,-0.944573
9.06,0.175639,0.174737,-0.984615
9.08,0.00839939,0.00839929,-0.999965
9.1,-0.159242,-0.15857,-0.987348
9.12,-0.319285,-0.313888,-0.94946
9.14,-0.464285,-0.447783,-0.894142
9.16,-0.587825,-0.554552,-0.832149
9.18,-0.684789,-0.632509,-0.774553
9.2,-0.75144,-0.682692,-0.730706
9.22,-0.785374,-0.70709,-0.707124
9.24,-0.785422,-0.707124,-0.70709
9.26,-0.751581,-0.682795,-0.73061
9.28,-0.685018,-0.632687,-0.774407
9.3,-0.588135,-0.55481,-0.831977
9.32,-0.464662,-0.448121,-0.893973
9.34,-0.319714,-0.314295,-0.949325
9.36,-0.159703,-0.159025,-0.987275
9.38,0.00792841,0.00792833,-0.999969
9.4,0.17518,0.174285,-0.984695
9.42,0.334079,0.3279,-0.944713
9.44,0.477264,0.459351,-0.888255
9.46,0.598435,0.56335,-0.826218
9.48,0.692608,0.638547,-0.769583
9.5,0.75618,0.686147,-0.727463
9.52,0.786868,0.708145,-0.706067
9.54,0.783619,0.705848,-0.708363
9.56,0.746544,0.679106,-0.734041
9.58,0.676922,0.626397,-0.779504
9.6,0.577282,0.545748,-0.837949
9.62,0.451486,0.436303,-0.8998
9.64,0.304782,0.300085,-0.953912
9.66,0.143696,0.143202,-0.989693
9.68,-0.0242526,-0.0242503,-0.999706
9.7,-0.191039,-0.189879,-0.981807
9.72,-0.348726,-0.341701,-0.939809
9.74,-0.490037,-0.470658,-0.882316
9.76,-0.608792,-0.571877,-0.820339
9.78,-0.700141,-0.644325,-0.764752
9.8,-0.760611,-0.689364,-0.724415
9.82,-0.788043,-0.708975,-0.705234
9.84,-0.781499,-0.704345,-0.709858
9.86,-0.7412,-0.675174,-0.737659
9.88,-0.668544,-0.619844,-0.784725
9.9,-0.566183,-0.536414,-0.843955
9.92,-0.438114,-0.424232,-0.905553
9.94,-0.289715,-0.285679,-0.958325
9.96,-0.127624,-0.127278,-0.991867
9.98,0.0405659,0.0405548,-0.999177
